,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
1574,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '부채_대비_소득_비율', '최근_2년간_연체_횟수', '대출금액']",0.855010454312577,0.8404502783085487,0.8551751597358094,0.8403581552555215
1558,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '대출목적', '월별대출금액', '대출금액']",0.8533211481743032,0.8404502783085487,0.853492035964753,0.8403259682561696
1950,"['총상환대출비율', '총상환이자', '총상환원금', '대출목적', '월별대출금액', '연간소득', '부채_대비_소득_비율', '최근_2년간_연체_횟수']",0.8583198327309988,0.8404087397191992,0.8584094507314749,0.8400929069207576
1587,"['대출기간', '총상환대출비율', '총상환원금', '월별대출금액', '연간소득', '최근_2년간_연체_횟수', '대출금액']",0.85451197053407,0.8404087397191992,0.8545476587321491,0.840187234262121
1944,"['총상환대출비율', '총상환이자', '총상환원금', '총상환액', '대출목적', '부채_대비_소득_비율', '최근_2년간_연체_횟수', '대출금액']",0.8567966878522273,0.8404087397191992,0.8568325204755554,0.840127121233589
1308,"['총상환대출비율', '총상환이자', '총상환원금', '연간소득', '최근_2년간_연체_횟수', '대출금액']",0.857987510211994,0.8403672011298496,0.8580688814672204,0.8401426271018886
771,"['총상환대출비율', '총상환이자', '총상환원금', '총상환액', '대출목적']",0.8559658815547155,0.8403672011298496,0.8561453091079532,0.8402473345668543
1563,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '대출목적', '부채_대비_소득_비율', '대출금액']",0.853875019039311,0.8403672011298496,0.8540239682250037,0.8402272155179293
787,"['총상환대출비율', '총상환이자', '총상환원금', '연간소득', '최근_2년간_연체_횟수']",0.8557720267519627,0.8403672011298496,0.8558955595198511,0.8402688036565785
595,"['대출기간', '총상환대출비율', '총상환원금', '대출목적', '월별대출금액']",0.8517980032955317,0.8403256625405001,0.851929287787772,0.8402724200521473
1580,"['대출기간', '총상환대출비율', '총상환원금', '대출목적', '월별대출금액', '최근_2년간_연체_횟수', '대출금액']",0.852961132112048,0.8402841239511506,0.8530601846353408,0.8401875336807034
1726,"['총상환대출비율', '총상환이자', '총상환원금', '월별대출금액', '연간소득', '부채_대비_소득_비율', '대출금액']",0.8592198728866365,0.8402425853618011,0.8593006744047609,0.8399734353432845
1881,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '월별대출금액', '연간소득', '부채_대비_소득_비율', '최근_2년간_연체_횟수']",0.8551350752572038,0.8402425853618011,0.855228084554711,0.840062277968395
1091,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '부채_대비_소득_비율', '최근_2년간_연체_횟수']",0.8526011160497929,0.8402010467724516,0.8528082735906121,0.8400991347004994
1879,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '대출목적', '연간소득', '최근_2년간_연체_횟수', '대출금액']",0.8545396640773204,0.8402010467724516,0.8546096799160244,0.8399367021471372
1718,"['총상환대출비율', '총상환이자', '총상환원금', '대출목적', '월별대출금액', '부채_대비_소득_비율', '최근_2년간_연체_횟수']",0.8572813248591091,0.8402010467724516,0.8573662519648664,0.8399198051092984
1298,"['총상환대출비율', '총상환이자', '총상환원금', '대출목적', '부채_대비_소득_비율', '대출금액']",0.8570459297414807,0.8401595081831021,0.8570979393360043,0.8398671611466693
1569,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '월별대출금액', '부채_대비_소득_비율', '대출금액']",0.8549273736828259,0.8401595081831021,0.8550980643630921,0.8400517936575284
1878,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '대출목적', '연간소득', '부채_대비_소득_비율', '대출금액']",0.8546642850219471,0.8401595081831021,0.8547777963612694,0.8399748577221483
1700,"['총상환대출비율', '총상환이자', '총상환원금', '총상환액', '대출목적', '연간소득', '최근_2년간_연체_횟수']",0.8560628089560919,0.8401179695937526,0.8561554458594128,0.8398972958783442
1112,"['대출기간', '총상환대출비율', '총상환원금', '연간소득', '최근_2년간_연체_횟수', '대출금액']",0.8544981237624448,0.8401179695937526,0.8545420010145481,0.8399506776616025
1876,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '대출목적', '월별대출금액', '최근_2년간_연체_횟수', '대출금액']",0.8534042288040543,0.8400764310044031,0.8535616090503708,0.839939910669985
1884,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '월별대출금액', '부채_대비_소득_비율', '최근_2년간_연체_횟수', '대출금액']",0.8547058253368227,0.8400348924150536,0.854850776138464,0.8398572266079101
1885,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '연간소득', '부채_대비_소득_비율', '최근_2년간_연체_횟수', '대출금액']",0.8548581398246998,0.8399933538257041,0.854931390589894,0.8398092828543184
606,"['대출기간', '총상환대출비율', '총상환원금', '연간소득', '대출금액']",0.854013486755563,0.8399933538257041,0.8540476045127289,0.8397777375115135
1083,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '대출목적', '대출금액']",0.8539304061258117,0.8399933538257041,0.8540912510806303,0.8398305229703054
1103,"['대출기간', '총상환대출비율', '총상환원금', '대출목적', '최근_2년간_연체_횟수', '대출금액']",0.8520195516415348,0.8399518152363545,0.8521518801683379,0.8398329850661507
1723,"['총상환대출비율', '총상환이자', '총상환원금', '대출목적', '연간소득', '최근_2년간_연체_횟수', '대출금액']",0.8573644054888603,0.8399518152363545,0.8574206137523583,0.8396433932266109
354,"['총상환대출비율', '총상환이자', '총상환원금', '연간소득']",0.8560628089560919,0.8398687380576556,0.8561354047171064,0.8396337452367403
1880,"['대출기간', '총상환대출비율', '총상환원금', '총상환액', '대출목적', '부채_대비_소득_비율', '최근_2년간_연체_횟수', '대출금액']",0.8550935349423282,0.8398687380576556,0.8552464693927583,0.8396960555595344
